date,origine,od_happy_card,train_no,heure_arrivee,axe,destination,entity,destination_iata,heure_depart,origine_iata
2025-01-17,LYON (intramuros),NON,7804,17:34,OUIGO_sud-est,PARIS (intramuros),OUIGO_paris centre <> lyon centre,FRPLY,15:38,FRLPD
2025-01-17,LYON (intramuros),OUI,6690,09:02,SUD EST,PARIS (intramuros),RHONEPARIS,FRPLY,07:04,FRLPD
2025-01-17,LYON (intramuros),OUI,6626,19:00,SUD EST,PARIS (intramuros),RHONEPARIS,FRPLY,16:50,FRLPE
2025-01-17,LYON (intramuros),OUI,6642,08:34,SUD EST,PARIS (intramuros),RHONEPARIS,FRPLY,06:38,FRLPD
2025-01-17,LYON (intramuros),NON,6614,13:00,SUD EST,PARIS (intramuros),RHONEPARIS,FRPLY,11:03,FRLPD
2025-01-16,LYON (intramuros),OUI,6642,08:34,SUD EST,PARIS (intramuros),RHONEPARIS,FRPLY,06:24,FRLPE
2025-01-16,LYON (intramuros),OUI,6614,13:00,SUD EST,PARIS (intramuros),RHONEPARIS,FRPLY,10:49,FRLPE
2025-01-16,LYON (intramuros),OUI,6634,23:08,SUD EST,PARIS (intramuros),RHONEPARIS,FRPLY,21:04,FRLPD
2025-01-16,LYON (intramuros),NON,6616,13:34,SUD EST,PARIS (intramuros),RHONEPARIS,FRPLY,11:24,FRLPE
2025-01-16,LYON (intramuros),NON,6630,21:00,SUD EST,PARIS (intramuros),RHONEPARIS,FRPLY,19:04,FRLPD
2025-01-16,LYON (intramuros),OUI,6620,16:08,SUD EST,PARIS (intramuros),RHONEPARIS,FRPLY,14:04,FRLPD
2025-01-16,LYON (intramuros),OUI,6614,13:00,SUD EST,PARIS (intramuros),RHONEPARIS,FRPLY,11:03,FRLPD
2025-01-16,LYON (intramuros),OUI,6634,23:08,SUD EST,PARIS (intramuros),RHONEPARIS,FRPLY,20:50,FRLPE
2025-01-16,LYON (intramuros),OUI,6694,15:00,SUD EST,PARIS (intramuros),RHONEPARIS,FRPLY,13:04,FRLPD
